89	88.994	88.935	88.9067	89.0989	88.7951	26922	51614	53.9668	13.4648	0.4147	0.4785	100.588	100.0465	100.2041	100.2153
88.94	88.983	88.9315	88.9157	89.0985	88.7965	55092	52583	51.222	-36.6457	0.2243	0.4235	100.5371	100.0514	100.2041	100.2152
88.895	88.979	88.9335	88.929	89.0963	88.7959	34367	52661	54.798	36.8498	0.1162	0.3501	100.5371	100.0562	100.2774	100.2158
88.96	88.953	88.9475	88.931	89.092	88.7932	35812	52436	55.3405	41.705	0.1769	0.2881	100.5484	100.0611	100.2774	100.2165
88.97	88.957	88.9675	88.937	89.0784	88.7847	27452	49539	58.0509	88.2565	0.2816	0.2428	100.5484	100.066	100.3337	100.2176
89.02	88.953	88.9735	88.941	89.0576	88.7677	51968	49887	51.3395	-24.5823	0.152	0.1902	100.4354	100.0696	100.3337	100.2188
88.92	88.957	88.97	88.94	89.0351	88.7491	49234	49796	51.0221	-42.5741	0.1085	0.167	100.4354	100.0733	100.3281	100.2199
88.915	88.945	88.962	88.9373	89.0108	88.7293	53693	51100	50.0222	-78.2918	0.0705	0.1579	100.4185	100.0767	100.3281	100.2209
88.9	88.928	88.9405	88.941	88.9845	88.7071	123633	57429	48.9884	-106.6165	0	0.1225	100.4016	100.0799	100.3281	100.222
88.885	88.888	88.9225	88.941	88.9527	88.6797	64135	58507	44.679	-156.3205	0.1754	0.1013	100.4016	100.0831	100.2547	100.2223
88.82	88.85	88.9015	88.9323	88.9349	88.6636	52320	57048	39.4983	-200.6308	0.5336	0.1776	100.4016	100.0863	100.1531	100.2216
88.73	88.807	88.882	88.9157	88.9165	88.647	38031	56619	37.9195	-188.1394	0.6852	0.293	100.4016	100.0894	100.1193	100.2206
88.7	88.763	88.854	88.8957	88.9051	88.6375	27334	51278	36.8621	-149.1277	0.7731	0.4335	100.4016	100.0926	100.0967	100.2194
88.68	88.715	88.8215	88.8653	88.8906	88.6251	39916	48625	35.0211	-131.8677	0.7733	0.5882	100.3619	100.0952	100.0967	100.2182
88.645	88.665	88.7765	88.8367	88.8824	88.6205	85986	51060	31.4024	-137.6428	0.7994	0.7129	100.277	100.097	100.0967	100.217
88.57	88.657	88.7535	88.82	88.8737	88.6161	61306	53352	41.7705	-61.0194	0.8208	0.7704	100.277	100.0988	100.2323	100.2171
88.69	88.653	88.73	88.8057	88.8719	88.6181	60992	53745	41.2114	-56.7055	0.8669	0.8067	100.277	100.1006	100.221	100.2172
88.68	88.667	88.715	88.7917	88.8754	88.625	29121	53396	46.5917	-7.1235	0.7629	0.8047	100.277	100.1024	100.3	100.218
88.7499	88.68	88.6975	88.7743	88.8811	88.6342	48668	54253	44.11	-27.0302	0.6748	0.785	100.2319	100.1037	100.3	100.2188
88.71	88.7213	88.6932	88.7581	88.8863	88.6428	34791	54742	49.0004	40.291	0.4579	0.7167	100.2319	100.1049	100.3754	100.2204
88.7767	88.7343	88.6956	88.7471	88.8937	88.6536	29938	53273	47.5297	36.747	0.288	0.6101	100.2319	100.1062	100.3507	100.2216
88.7548	88.7603	88.7066	88.7401	88.8961	88.66	46349	53081	51.4818	118.4357	0.0745	0.4516	100.2943	100.1081	100.3507	100.2229
88.81	88.7813	88.7241	88.7371	88.9063	88.673	41043	52238	54.4916	163.1192	0.0119	0.3014	100.2943	100.1099	100.4015	100.2247
88.855	88.8153	88.7476	88.7368	88.9207	88.6897	45858	47053	56.1196	146.4666	0.2826	0.223	100.3225	100.112	100.4015	100.2265
88.88	88.834	88.7776	88.7401	88.9298	88.7002	28589	44683	55.2682	111.7597	0.6353	0.2585	100.3225	100.1141	100.3902	100.2281
88.87	88.861	88.7976	88.7508	88.9409	88.7131	55733	44910	56.6841	108.0097	0.7952	0.3599	100.3451	100.1164	100.3902	100.2297
88.89	88.865	88.8126	88.7594	88.9494	88.7247	41537	45144	51.4243	49.0809	0.8236	0.5097	100.3451	100.1187	100.3225	100.2306
88.83	88.874	88.8277	88.7741	88.9496	88.7264	27185	45134	56.4963	99.4549	0.8638	0.6801	100.3451	100.1209	100.4015	100.2323
88.9	88.886	88.8506	88.7938	88.9653	88.7404	38053	45010	59.123	121.3252	0.8709	0.7978	100.3902	100.1236	100.4015	100.234
88.94	88.888	88.861	88.8144	88.9722	88.7449	24513	40912	53.8687	52.8082	0.8432	0.8393	100.3902	100.1263	100.3338	100.235
88.88	88.89	88.8755	88.8284	88.9677	88.7367	33004	39025	55.2951	67.3925	0.8013	0.8406	100.4128	100.1291	100.3338	100.236
88.9	88.9	88.8825	88.8418	88.9652	88.7322	16412	36053	53.5132	33.9504	0.7111	0.8181	100.4128	100.132	100.3112	100.2367
88.88	88.878	88.876	88.8444	88.9624	88.7273	27387	35937	46.2865	-116.6224	0.3733	0.72	100.3111	100.1337	100.3112	100.2375
88.79	88.878	88.882	88.8598	88.9504	88.7129	78561	37930	56.7663	131.8508	0.3319	0.6122	100.4806	100.1372	100.3112	100.2382
88.94	88.873	88.8805	88.865	88.9446	88.7044	116939	43407	50.7267	-52.1526	0.1713	0.4778	100.3846	100.1396	100.3112	100.2389
88.855	88.8402	88.8651	88.8637	88.9451	88.702	50935	44807	43.7142	-218.2213	0.0172	0.321	100.3846	100.1421	100.1769	100.2383
88.736	88.8202	88.8601	88.8617	88.9352	88.6878	37112	44191	46.6507	-111.8641	0.1672	0.2122	100.3846	100.1445	100.2265	100.2382
88.78	88.8182	88.8481	88.8567	88.9206	88.6695	41393	44214	46.6507	-90.6085	0.2998	0.1975	100.3846	100.1469	100.2265	100.2381
88.78	88.7682	88.8231	88.8441	88.8971	88.642	48326	44379	41.513	-151.3561	0.438	0.2187	100.2828	100.1482	100.2265	100.238
88.69	88.7472	88.8101	88.8361	88.87	88.611	31960	44603	45.7986	-76.2368	0.5267	0.2898	100.2828	100.1496	100.2943	100.2385
88.75	88.764	88.8021	88.8314	88.8484	88.5855	46272	43973	50.3681	-6.1797	0.4516	0.3767	100.3619	100.1517	100.2943	100.2391
88.82	88.7491	88.7847	88.8231	88.8415	88.5728	30784	43256	43.8552	-104.504	0.6243	0.4681	100.3619	100.1538	100.165	100.2384
88.7055	88.7251	88.7717	88.8071	88.8308	88.5567	51943	44906	41.5559	-129.6763	0.6764	0.5434	100.3104	100.1553	100.165	100.2376
88.66	88.6991	88.7337	88.7818	88.8272	88.5481	66940	46832	36.9678	-181.7028	0.6815	0.5921	100.1973	100.1558	100.165	100.2369
88.56	88.6511	88.6991	88.7571	88.8192	88.5357	81129	50606	34.8897	-175.925	0.7266	0.6321	100.1406	100.1556	100.165	100.2362
88.5099	88.5971	88.6805	88.7338	88.8137	88.5265	105759	55457	37.8991	-115.0126	0.7449	0.6908	100.186	100.1559	100.165	100.2355
88.55	88.592	88.6705	88.7204	88.8058	88.5152	55915	58090	46.5273	-14.6176	0.6421	0.6943	100.186	100.1562	100.3121	100.2362
88.68	88.586	88.6555	88.7098	88.804	88.51	43637	59174	43.9905	-44.5863	0.6534	0.6897	100.186	100.1565	100.2554	100.2364
88.6299	88.614	88.6565	88.6938	88.7991	88.5029	45330	56958	48.2425	19.7328	0.4556	0.6445	100.2652	100.1576	100.2554	100.2366
88.7	88.642	88.6465	88.6801	88.7966	88.5012	37527	51664	45.5845	-17.4816	0.3319	0.5656	100.2652	100.1587	100.1989	100.2363
88.65	88.6645	88.6308	88.6752	88.8002	88.506	27333	50091	46.3798	3.77	0.2766	0.4719	100.2652	100.1597	100.213	100.236
88.6625	88.6545	88.6232	88.6652	88.8137	88.5213	36581	50055	44.556	-26.6996	0.2059	0.3847	100.2285	100.1604	100.213	100.2358
88.63	88.6645	88.6252	88.6585	88.8206	88.5298	29954	49293	47.9473	36.672	0.0783	0.2697	100.2285	100.1611	100.2696	100.2361
88.68	88.6525	88.6332	88.6552	88.8335	88.5438	20819	47459	45.5472	6.964	0.0656	0.1917	100.2285	100.1618	100.2243	100.236
88.64	88.6585	88.6502	88.6505	88.8452	88.5577	15995	46395	48.3325	70.6976	0.0047	0.1262	100.2285	100.1624	100.2696	100.2363
88.68	88.672	88.6682	88.6445	88.8596	88.5747	15569	44348	51.6611	126.3311	0.1715	0.1052	100.2285	100.1631	100.3261	100.2372
88.73	88.711	88.6827	88.6525	88.8712	88.5894	21235	43711	57.2852	208.7802	0.4942	0.1628	100.3356	100.1648	100.3261	100.2381
88.8249	88.727	88.6957	88.6591	88.8852	88.6083	16715	41363	52.764	115.3453	0.6732	0.2818	100.3356	100.1665	100.2528	100.2383
88.76	88.763	88.7077	88.6765	88.8949	88.6228	28751	38817	56.2054	154.3046	0.6976	0.4082	100.4035	100.1688	100.2528	100.2384
88.82	88.789	88.7237	88.6965	88.9072	88.6416	18707	34655	55.4797	109.4466	0.685	0.5443	100.4035	100.1712	100.2415	100.2384
88.81	88.813	88.7425	88.7165	88.9231	88.664	13370	28496	57.8249	122.3932	0.6832	0.6466	100.4035	100.1735	100.2867	100.2389
